1|aa|台北市中正區復興南路|0900000000||2020-03-24|||待出貨|1
1|aa|台北市中正區復興南路|0900000000|外送員帥一點|2020-03-23|2020-03-25||已出貨|2
2|bb|嘉義市東區中正路123號12樓|0900000000|不要包裝|2020-03-24|||待出貨|3
2|bb|嘉義市東區中正路123號12樓|0900000000||2020-03-01|2020-03-02|2020-03-02|完成|4
3|bb|嘉義市東區中正路123號12樓|0900000000||2020-03-08|2020-03-20||已出貨|5
4|bb|嘉義市東區中正路123號12樓|0900000000||2020-03-08|||待出貨|6
4|bb|嘉義市東區中正路123號12樓|0900000000||2020-03-09|2020-03-25||已出貨|7
9|bb|嘉義市東區中正路123號12樓|0900000000||2020-03-10|2020-03-12|2020-03-12|完成|8
10|bb|嘉義市東區中正路123號12樓|0900000000||2020-03-10|2020-03-15|2020-03-16|完成|9
15|bb|嘉義市東區中正路123號12樓|0900000000||2020-03-12|||待出貨|10
16|bb|嘉義市東區中正路123號12樓|0900000000||2020-03-15|||待出貨|11
21|bb|嘉義市東區中正路123號12樓|0900000000||2020-03-18|2020-03-25||已出貨|12
6|bb|嘉義市東區中正路123號12樓|0900000000||2020-03-24|2020-03-25|2020-03-26|完成|13
18|bb|嘉義市東區中正路123號12樓|0900000000||2020-04-02|2020-04-03|2020-04-03|完成|14
20|bb|嘉義市東區中正路123號12樓|0900000000||2020-04-02|2020-04-05||已出貨|15
30|bb|嘉義市東區中正路123號12樓|0900000000||2020-04-14|||待出貨|16
43|bb|嘉義市東區中正路123號12樓|0900000000||2020-04-20|2020-04-21||已出貨|17
26|bb|嘉義市東區中正路123號12樓|0900000000||2020-05-04|2020-05-05||已出貨|18
1|bb|嘉義市東區中正路123號12樓|0900000000||2020-05-05|2020-05-05|2020-05-06|完成|19
5|bb|嘉義市東區中正路123號12樓|0900000000||2020-05-14|2020-05-15|2020-05-16|完成|20
